test_id,test_name,model,carrier,family_id,probe_class,rep,pass,is_infra_error,expected_result
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,2,0,0,TRUE
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,3,0,0,TRUE
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,4,0,0,TRUE
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,5,0,0,TRUE
237,QS020A,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,6,0,0,TRUE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,1,1,0,FALSE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,2,1,0,FALSE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,3,1,0,FALSE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,4,1,0,FALSE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,5,1,0,FALSE
238,QS020B,google/gemma-4-e2b,neutral_control,QS-FA20,quant-scope,6,1,0,FALSE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,1,0,0,TRUE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,2,1,0,TRUE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,3,1,0,TRUE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,4,1,0,TRUE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,5,1,0,TRUE
239,QS021A,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,6,1,0,TRUE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,1,1,0,FALSE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,2,1,0,FALSE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,3,1,0,FALSE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,4,1,0,FALSE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,5,1,0,FALSE
240,QS021B,google/gemma-4-e2b,neutral_control,QS-FA21,quant-scope,6,1,0,FALSE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,1,0,0,TRUE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,2,1,0,TRUE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,3,1,0,TRUE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,4,1,0,TRUE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,5,1,0,TRUE
241,QS022A,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,6,1,0,TRUE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,1,1,0,FALSE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,2,1,0,FALSE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,3,1,0,FALSE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,4,1,0,FALSE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,5,1,0,FALSE
242,QS022B,google/gemma-4-e2b,neutral_control,QS-FA22,quant-scope,6,1,0,FALSE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,1,0,0,TRUE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,2,0,0,TRUE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,3,0,0,TRUE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,4,0,0,TRUE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,5,0,0,TRUE
243,QS023A,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,6,0,0,TRUE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,1,1,0,FALSE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,2,1,0,FALSE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,3,1,0,FALSE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,4,1,0,FALSE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,5,1,0,FALSE
244,QS023B,google/gemma-4-e2b,neutral_control,QS-FA23,quant-scope,6,1,0,FALSE
245,QS024A,google/gemma-4-e2b,neutral_control,QS-FA24,quant-scope,1,1,0,TRUE
245,QS024A,google/gemma-4-e2b,neutral_control,QS-FA24,quant-scope,2,0,0,TRUE
